姜子牙,动画／动作／冒险,2020-10-01
我和我的家乡,剧情／喜剧,2020-10-01
八佰,剧情／战争／历史,2020-08-21
夺冠,剧情,2020-09-25
我在时间尽头等你,爱情／奇幻／喜剧,2020-08-25
花木兰,剧情／冒险,2020-09-11
信条,科幻／动作／剧情,2020-09-04
急先锋,动作／冒险／喜剧,2020-09-30
我和我的祖国,剧情,2019-09-30
哪吒之魔童降世,动画／喜剧／奇幻,2019-07-26
